Data_source,Forecaster,n_ifps,n_fcasts,avg_Brier,sd_Brier
ACLED 2op (7),Machine,6,280,0.610536913,0.6306744111319458
ACLED 2op (7),Turker,7,1714,0.532540723453909,0.5262699624291981
ACLED 2op (7),Volunteer,7,134,0.39633731343283585,0.5258976157069568
ACLED 5op (4),Machine,4,141,0.5946186736524822,0.29120833695645104
ACLED 5op (4),Turker,4,938,0.5535691364605544,0.4693574943092403
ACLED 5op (4),Volunteer,4,106,0.7904792452830188,0.659568845205062
Earthquakes (2),Machine,2,83,0.2852247603071325,0.2748427184196477
Earthquakes (2),Turker,2,638,0.2074128526645768,0.20637129520091047
Earthquakes (2),Volunteer,2,233,0.19898755364806867,0.19153404553428865
EIA oil prices (5),Machine,3,66,0.18392273744890908,0.12456024271524271
EIA oil prices (5),Turker,5,849,0.20387155477031801,0.17865389183189836
EIA oil prices (5),Volunteer,5,378,0.14498002645502645,0.1620578880404364
FAO global food prices (3),Machine,3,95,0.38552273531578946,0.30683124691281494
FAO global food prices (3),Turker,3,679,0.22030220913107512,0.1956032174644072
FAO global food prices (3),Volunteer,3,110,0.12051272727272727,0.19171671540314578
FRED exchange rates (2),Machine,2,78,0.580357057051282,0.38646898625368986
FRED exchange rates (2),Turker,2,508,0.48805590551181105,0.3035027137165346
FRED exchange rates (2),Volunteer,2,208,0.29011466346153847,0.2898876272601739
Gold (3),Machine,3,66,0.1837283415909091,0.3330655929080959
Gold (3),Turker,3,669,0.27406449925261583,0.25642859832603854
Gold (3),Volunteer,3,252,0.17105019841269842,0.29686573546032347
IMF inflation (1),Machine,1,29,0.2218612820689655,0.010894239119952144
IMF inflation (1),Turker,1,112,0.2515669642857143,0.1683236922874971
IMF inflation (1),Volunteer,1,21,0.3250119047619048,0.2469162322047509
Nigeria Boko Haram violence (2),Machine,2,126,0.35457952464285714,0.13295715915809422
Nigeria Boko Haram violence (2),Turker,2,470,0.5044840425531915,0.36273908053088316
Nigeria Boko Haram violence (2),Volunteer,2,73,0.6478095890410959,0.3694160470384996
OECD interest rates (7),Machine,7,450,0.4304569165496647,0.3305541810082208
OECD interest rates (7),Turker,7,1990,0.5338877889447237,0.4471246440725335
OECD interest rates (7),Volunteer,7,301,0.3564126245847176,0.37670244487316784
OPEC oil production (5),Machine,5,251,0.28303094713147414,0.18242392357011225
OPEC oil production (5),Turker,5,1249,0.22184995996797438,0.2555825886428615
OPEC oil production (5),Volunteer,5,214,0.20941658878504674,0.28763280022178694
Other (2),Machine,2,130,0.4163215701538462,0.13939971617191263
Other (2),Turker,2,380,0.5742013157894736,0.49325017995399595
Other (2),Volunteer,2,56,0.18754464285714284,0.35101668474700626
Privacyrights hacking (2),Machine,2,90,0.2313694825,0.1247321979753854
Privacyrights hacking (2),Turker,2,383,0.3208617493472585,0.2668302591375919
Privacyrights hacking (2),Volunteer,2,76,0.5169453947368421,0.45924908957831234
Stocks (4),Machine,4,90,0.203828087545339,0.14506197602559054
Stocks (4),Turker,4,1075,0.2035774418604651,0.19122945652365503
Stocks (4),Volunteer,4,204,0.22271519607843138,0.1957830436648201
